n,#Prueba,Purview,Mecanismo,modo,k,perdida,tiempo_ms
10,8,ABCDEFGHI,ABCDEFGHIJ,Exacto_KL,4,0.478515625,3337.828199997602
10,8,ABCDEFGHI,ABCDEFGHIJ,Exacto_KL,5,0.4951171875,4212.658599994029
10,8,ABCDEFGHI,ABCDEFGHIJ,Rapido_MCTS,2,3.442857142857143,1638.64598300006
10,8,ABCDEFGHI,ABCDEFGHIJ,Rapido_MCTS,3,3.871428571428571,1707.495092000045
10,8,ABCDEFGHI,ABCDEFGHIJ,Rapido_MCTS,4,3.991428571428571,1899.984069999846
10,8,ABCDEFGHI,ABCDEFGHIJ,Rapido_MCTS,5,4.111428571428572,2045.769150000069
10,8,ABCDEFGHI,ABCDEFGHIJ,Aprox_KLmc,3,0.0,1972.404699976323
10,8,ABCDEFGHI,ABCDEFGHIJ,Aprox_KLmc,4,0.478515625,3055.661100021098
10,8,ABCDEFGHI,ABCDEFGHIJ,Aprox_KLmc,5,0.4951171875,3849.377600010484
10,9,ABCDEFGHI,ABCDEFGHI,Exacto,2,0.0048828125,301.3289000009536
10,9,ABCDEFGHI,ABCDEFGHI,Exacto,3,0.0244140625,404.5438999964972
10,9,ABCDEFGHI,ABCDEFGHI,Exacto,4,0.0439453125,477.0305999991251
10,9,ABCDEFGHI,ABCDEFGHI,Exacto,5,0.0712890625,530.7190000021365
10,9,ABCDEFGHI,ABCDEFGHI,Exacto_KL,3,0.0,971.5158000035444
10,9,ABCDEFGHI,ABCDEFGHI,Exacto_KL,4,0.0,1943.138100003125
10,9,ABCDEFGHI,ABCDEFGHI,Exacto_KL,5,0.0,2792.025800001284
10,9,ABCDEFGHI,ABCDEFGHI,Rapido_MCTS,2,1.865714285714286,1530.033695999919
10,9,ABCDEFGHI,ABCDEFGHI,Rapido_MCTS,3,1.891428571428571,1385.907219999808
10,9,ABCDEFGHI,ABCDEFGHI,Rapido_MCTS,4,2.674285714285714,1665.279688000282
